epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,42121.1,1.09772,1.82443,1.18291,0.64707,0.67491,0.68761,0.48533,0.88443,1.53784,1.1068,0.00992085,0.00992085,0.00992085
59,42845.6,1.10484,1.81674,1.18444,0.64822,0.67609,0.68975,0.48651,0.88415,1.53342,1.10655,0.00991805,0.00991805,0.00991805
60,43574.2,1.10563,1.82004,1.18497,0.65026,0.67494,0.69102,0.48733,0.884,1.53175,1.10621,0.00991521,0.00991521,0.00991521
61,44296.5,1.09794,1.8028,1.17717,0.65122,0.67515,0.69239,0.48859,0.88349,1.53149,1.1059,0.00991232,0.00991232,0.00991232
62,45008.6,1.10784,1.82619,1.18422,0.65355,0.67484,0.69237,0.48893,0.88306,1.52946,1.1055,0.00990938,0.00990938,0.00990938
63,45735.3,1.09636,1.80205,1.18081,0.65836,0.67295,0.69371,0.48922,0.88292,1.52699,1.10531,0.0099064,0.0099064,0.0099064
64,46459.9,1.09722,1.80258,1.1827,0.65937,0.67124,0.69517,0.48965,0.88238,1.52515,1.10495,0.00990336,0.00990336,0.00990336
65,47185.7,1.10305,1.81496,1.18675,0.66141,0.67246,0.69749,0.49079,0.88202,1.52119,1.10448,0.00990028,0.00990028,0.00990028
66,47900.6,1.10095,1.81622,1.18456,0.66249,0.67671,0.69811,0.49125,0.88164,1.51896,1.10428,0.00989715,0.00989715,0.00989715
67,48624.7,1.09435,1.78839,1.17932,0.66195,0.67169,0.70081,0.49316,0.88094,1.5162,1.10384,0.00989398,0.00989398,0.00989398
68,49344.1,1.10051,1.80384,1.18147,0.65705,0.67431,0.70063,0.49321,0.88058,1.5135,1.10345,0.00989075,0.00989075,0.00989075
69,50073.8,1.09878,1.8003,1.18288,0.66181,0.67579,0.70164,0.49363,0.87979,1.51289,1.10282,0.00988748,0.00988748,0.00988748
70,50799,1.09493,1.79701,1.18063,0.66434,0.67568,0.70364,0.49508,0.87937,1.51144,1.10261,0.00988416,0.00988416,0.00988416
71,51525.1,1.09586,1.79869,1.18055,0.66194,0.67664,0.70514,0.49669,0.87876,1.50791,1.10191,0.00988079,0.00988079,0.00988079
72,52244,1.09049,1.78801,1.17875,0.6659,0.67898,0.70629,0.49733,0.87801,1.50507,1.10119,0.00987737,0.00987737,0.00987737
73,52969.4,1.09646,1.7936,1.17888,0.66923,0.6827,0.70686,0.4979,0.87732,1.50354,1.10059,0.00987391,0.00987391,0.00987391
74,53690.7,1.09457,1.7947,1.17889,0.66741,0.68014,0.70711,0.49875,0.87631,1.49993,1.10006,0.0098704,0.0098704,0.0098704
75,54413.4,1.09775,1.80416,1.18129,0.66694,0.67795,0.70818,0.49969,0.87562,1.49677,1.09942,0.00986684,0.00986684,0.00986684
76,55135.8,1.09555,1.7856,1.17897,0.66724,0.67764,0.70853,0.49968,0.87486,1.49423,1.09876,0.00986323,0.00986323,0.00986323
77,55854.7,1.09794,1.79301,1.1799,0.66798,0.67965,0.70951,0.50013,0.87401,1.49206,1.09822,0.00985958,0.00985958,0.00985958
78,56580.3,1.09316,1.78121,1.17849,0.67819,0.68142,0.71021,0.5022,0.8732,1.49072,1.0976,0.00985588,0.00985588,0.00985588
79,57306.8,1.09052,1.78753,1.17719,0.67976,0.68286,0.71179,0.50202,0.87248,1.48688,1.09699,0.00985213,0.00985213,0.00985213
80,58030.1,1.08945,1.7766,1.17743,0.68191,0.68466,0.7136,0.50327,0.87217,1.48356,1.09659,0.00984833,0.00984833,0.00984833
81,58757,1.09256,1.77536,1.17609,0.68768,0.68648,0.71548,0.50398,0.87156,1.48218,1.09601,0.00984449,0.00984449,0.00984449
82,59488.2,1.08893,1.77608,1.17707,0.69372,0.68724,0.71756,0.50519,0.87078,1.4796,1.09554,0.0098406,0.0098406,0.0098406
83,60219.2,1.08523,1.77423,1.17707,0.69441,0.68747,0.72035,0.50697,0.87049,1.47677,1.09554,0.00983666,0.00983666,0.00983666
